ID,DATE,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,SOT,LAT,LON,POWER
0,2019/8/20,0.46439,-2.844192,647.6690674,303.7074585,0.7557,98.45249219,0.836825387,89,0.349999994,3,0.0566,2.0589812,237.326815,2357A,28.095,116.9622,31.08333333
1,2019/12/12,0.353248,-0.269249,319.7405701,278.1040649,0.2426,102.2460859,0.773376901,40,32.41999817,13,0.000266,2.604919263,76.87299618,1653A,35.428,116.6305,61.25
2,2019/4/7,0.2170535,-3.203711,410.0294189,295.7713318,0.4007,95.36234375,0.818272356,366,30.20000076,12,0.0058,2.404733799,235.5311594,2562A,30.1506,104.6356,26.08333333
3,2019/12/2,0.332295,-1.231481,595.7507324,285.6150513,0.3063,101.2493906,0.78905535,90,45.34999847,13,0.00316,0.060649618,159.5240725,1403A,22.8225,108.321,23.45833333
4,2019/7/14,0.462568,-1.437667,790.3635864,304.4238586,0.345,96.46604688,0.828973389,377,25.78000069,12,3.82172,2.643497015,318.3805601,2179A,35.1147,111.0414,29.54166667
5,2019/10/5,0.1068225,-1.663175,574.1437378,281.2042542,0.325,100.8607031,0.771621268,115,32.20000076,12,0.000392,1.512586003,206.4706531,1130A,45.8167,126.561,10.08333333
6,2019/2/25,0.262148,-0.490597,197.1410675,273.9247131,0.1161,102.211125,0.753240008,29,35.88000107,15,0.000498,2.086659539,244.730757,1768A,40.8333,121.045,31.625
7,2019/1/26,0.116691669,-0.00625,373.5918884,269.8585815,0.1407,95.03103125,0.713579625,583,51.25,13,0.00322,0.42970768,234.7014158,1746A,42.2556,118.8789,13.95833333
8,2019/8/5,0.621993,-3.578182,327.636322,301.0909729,0.4259,97.02571875,0.850556379,159,23.45999908,12,7.336711,0.614852098,359.6348629,1864A,25.2708,110.3089,24.18181818
9,2019/4/14,0.246357338,-2.150643,707.0548706,284.9606628,0.2313,100.8858828,0.767981567,61,8.789999962,13,0.150943,2.251198675,245.0206421,1970A,36.885,120.515,28.52631579
10,2019/3/11,0.065979334,-0.970306,1118.975098,280.640564,0.2155,100.7037422,0.743047049,42,38.56999969,13,0.000661,1.263354455,269.6289027,1005A,39.9716,116.473,19.90909091
11,2019/4/22,0.225708,-0.690868,603.5198364,287.1498718,0.1315,96.79038281,0.768979754,273,20.70999908,12,0.00401,1.159927192,345.4864478,2200A,46.0703,122.0506,40.33333333
12,2019/5/16,0.157383,-2.19765,1095.55835,297.5404358,0.5209,80.91028906,0.806642369,1511,0.629999995,7,8.145769,1.29270082,251.7449938,2571A,27.8094,102.3419,14.18181818
13,2019/3/11,0.530893,-2.668475,331.7146912,291.6474609,0.2727,101.5026563,0.823483712,4,27.29999924,9,0.000661,1.511526853,58.04301201,1368A,22.2294,113.495,29.625
14,2019/2/5,0.147362,-0.0654,471.8976746,254.6935577,0.1588,100.6240859,0.680538069,151,61.11000061,13,0.0605,0.784054357,171.0412837,1132A,45.7222,126.599,29.5
15,2019/4/2,0.112744,-0.196304,619.1804199,273.4081726,0.3336,96.242875,0.725580183,394,6.519999981,13,0.00254,2.146832647,252.7952201,2268A,50.4269,124.1186,14.16666667
16,2019/11/8,0.381489,-0.820813,615.4364014,289.4105835,0.3724,96.69928125,0.802832729,158,36.72000122,9,1.027789,0.904304172,356.3109138,2325A,26.2708,117.6353,28.875
17,2019/11/12,0.314986,-0.633481,268.6853638,287.166626,0.2608,98.97102344,0.798602121,200,12.02999973,13,0.0184,1.266251546,73.28008263,3059A,36.2092,117.7181,67.66666667
18,2019/9/22,0.2607815,-2.425901,822.2130737,294.3003235,0.6854,101.190125,0.814781843,31,1.470000029,10,0,4.612319338,121.9300498,1802A,31.7133,118.6439,24.57142857
19,2019/9/7,0.762590648,-3.028344,530.1591187,298.1393433,0.4303,99.16130469,0.828372454,83,25.53000069,13,0.514532,0.590851522,283.5836293,1301A,36.6739,117.114,55.29166667
20,2019/5/20,0.211132,-1.300646,541.6416626,293.7032471,0.3556,94.09180469,0.784699881,580,78.12000275,13,0.97785,3.184599496,245.4412817,2691A,44.0114,87.2997,38.82608696
21,2019/9/20,0.358714,-4.227388,472.12854,299.285614,0.4733,100.6061484,0.840387486,11,25.37999916,12,0.000127,0.760636961,336.6259938,1689A,21.6828,110.8592,37.84210526
22,2019/11/25,0.85612,-1.608465,599.6708374,291.7171631,0.2537,100.8543516,0.812745274,90,43.52999878,13,0.100724,0.399195248,66.13502103,1403A,22.8225,108.321,61.47826087
23,2019/11/11,0.194430338,-0.936717,343.5881348,288.9728394,0.2288,101.2345547,0.801188703,38,41.40000153,13,2.042272,0.612016685,233.0248572,1660A,35.4234,119.5198,30.375
24,2019/5/12,0.439793,-4.252214,383.3592529,298.4490051,0.3617,100.5215234,0.841322632,18,21.34000015,13,0.0133,1.574009756,82.64766017,1393A,23.08,114.4053,17.45833333
25,2019/11/9,0.799638,-0.195257,486.5518494,286.8926392,0.2163,100.7065,0.799422259,61,7.320000172,12,0.226853,2.563964884,219.7029474,1978A,37.18,119.959,97.91304348
26,2019/7/24,0.158294,-0.062,1222.576904,305.5980835,0.2562,85.46453906,0.787791225,1296,65.87000275,13,0.446611,2.779551447,313.9936677,2699A,39.4699,75.9771,35.82608696
27,2019/8/9,0.424002324,-4.192128,345.3920593,302.3769226,0.2895,99.47802344,0.855307792,10,46.95000076,13,0.000712,1.953216564,42.5806596,1413A,20.0356,110.33,16
